_id,end,file,sentence,start,system
63804b17a5b0357522aaa17d,77,Tasks/junit.html.txt,This task runs tests from the JUnit testing framework.,23,apache-ant-1.10.6
63804b17a5b0357522aaa17e,148,Tasks/junit.html.txt,The latest version of the framework can be found at https://junit.org.,78,apache-ant-1.10.6
63804b17a5b0357522aaa17f,256,Tasks/junit.html.txt,This task has been tested with JUnit 3.0 up to JUnit 3.8.2; it won't work with versions prior to JUnit 3.0.,149,apache-ant-1.10.6
63804b17a5b0357522aaa180,366,Tasks/junit.html.txt,"It also works with JUnit 4.x, including ""pure"" JUnit 4 tests using only annotations and no JUnit4TestAdapter.",257,apache-ant-1.10.6
63804b17a5b0357522aaa181,457,Tasks/junit.html.txt,Note: This task depends on external libraries not included in the Apache Ant distribution.,367,apache-ant-1.10.6
63804b17a5b0357522aaa182,504,Tasks/junit.html.txt,See Library_Dependencies for more information.,458,apache-ant-1.10.6
63804b17a5b0357522aaa183,545,Tasks/junit.html.txt,Note: You must have junit.jar available.,505,apache-ant-1.10.6
63804b17a5b0357522aaa184,624,Tasks/junit.html.txt,Put both junit.jar and ant-junit.jar in ANT_HOME/lib.,571,apache-ant-1.10.6
63804b17a5b0357522aaa185,740,Tasks/junit.html.txt,"Do not put either in ANT_HOME/lib, and instead include their locations in your CLASSPATH environment variable.",630,apache-ant-1.10.6
63804b17a5b0357522aaa186,789,Tasks/junit.html.txt,Add both JARs to your classpath using -lib.,746,apache-ant-1.10.6
63804b17a5b0357522aaa187,891,Tasks/junit.html.txt,Specify the locations of both JARs using a <classpath> element in a <taskdef> in the build file.,795,apache-ant-1.10.6
63804b17a5b0357522aaa188,1016,Tasks/junit.html.txt,Leave ant-junit.jar in its default location in ANT_HOME/lib but include junit.jar in the <classpath> passed to <junit>.,897,apache-ant-1.10.6
63804b17a5b0357522aaa189,1029,Tasks/junit.html.txt,Since Ant 1.7,1017,apache-ant-1.10.6
63804b17a5b0357522aaa18a,1056,Tasks/junit.html.txt,See the_FAQ for details.,1032,apache-ant-1.10.6
63804b17a5b0357522aaa18b,1129,Tasks/junit.html.txt,Tests are defined by nested test or batchtest tags (see nested_elements).,1057,apache-ant-1.10.6
